Uid,Sid,Tag,Key,Time,Value,UpdateTime
8278074507,895438322,daily_report,stress,1744156800,"{""stress_scale"":{""relax"":81,""severe"":0,""moderate"":0,""mild"":15},""max_stress"":37,""avg_stress"":19,""min_stress"":11}",1744466209
8278074507,895438322,daily_report,stress,1744243200,"{""min_stress"":14,""stress_scale"":{""moderate"":0,""relax"":93,""mild"":22,""severe"":0},""avg_stress"":20,""max_stress"":40}",1744466209
8278074507,895438322,daily_report,stress,1744329600,"{""max_stress"":41,""min_stress"":15,""avg_stress"":22,""stress_scale"":{""mild"":27,""relax"":64,""moderate"":0,""severe"":0}}",1744466209
8278074507,895438322,daily_report,stress,1744416000,"{""avg_stress"":21,""min_stress"":11,""stress_scale"":{""mild"":22,""severe"":0,""moderate"":0,""relax"":78},""max_stress"":41}",1744468016
8278074507,895438322,daily_report,stress,1744761600,"{""min_stress"":27,""stress_scale"":{""severe"":0,""moderate"":0,""relax"":0,""mild"":7},""avg_stress"":33,""max_stress"":35}",1746878927
8278074507,895438322,daily_report,stress,1744848000,"{""min_stress"":27,""stress_scale"":{""severe"":0,""moderate"":0,""relax"":0,""mild"":6},""max_stress"":35,""avg_stress"":32}",1746878927
8278074507,895438322,daily_report,stress,1744934400,"{""max_stress"":45,""min_stress"":30,""avg_stress"":36,""stress_scale"":{""moderate"":0,""severe"":0,""relax"":0,""mild"":17}}",1746878927
8278074507,895438322,daily_report,stress,1745107200,"{""max_stress"":34,""avg_stress"":34,""min_stress"":34,""stress_scale"":{""severe"":0,""mild"":1,""moderate"":0,""relax"":0}}",1746878927
8278074507,895438322,daily_report,stress,1745452800,"{""max_stress"":44,""avg_stress"":22,""stress_scale"":{""severe"":0,""mild"":29,""moderate"":0,""relax"":71},""min_stress"":11}",1746878927
8278074507,895438322,daily_report,stress,1745539200,"{""avg_stress"":20,""min_stress"":10,""stress_scale"":{""severe"":0,""mild"":17,""moderate"":0,""relax"":67},""max_stress"":40}",1746878927
8278074507,895438322,daily_report,stress,1745625600,"{""max_stress"":37,""avg_stress"":18,""stress_scale"":{""severe"":0,""mild"":9,""moderate"":0,""relax"":86},""min_stress"":9}",1746878927
8278074507,895438322,daily_report,stress,1745712000,"{""max_stress"":40,""avg_stress"":19,""stress_scale"":{""severe"":0,""mild"":13,""moderate"":0,""relax"":101},""min_stress"":12}",1746878927
8278074507,895438322,daily_report,stress,1745798400,"{""min_stress"":10,""max_stress"":37,""avg_stress"":17,""stress_scale"":{""severe"":0,""moderate"":0,""relax"":94,""mild"":5}}",1746878927
8278074507,895438322,daily_report,stress,1745884800,"{""min_stress"":10,""stress_scale"":{""severe"":0,""moderate"":0,""mild"":11,""relax"":76},""avg_stress"":19,""max_stress"":36}",1746876235
8278074507,895438322,daily_report,stress,1745971200,"{""max_stress"":18,""avg_stress"":17,""stress_scale"":{""mild"":0,""severe"":0,""moderate"":0,""relax"":38},""min_stress"":14}",1746876234
8278074507,895438322,daily_report,stress,1746489600,"{""max_stress"":29,""min_stress"":29,""avg_stress"":29,""stress_scale"":{""severe"":0,""moderate"":0,""mild"":1,""relax"":0}}",1746876234
8278074507,895438322,daily_report,stress,1746576000,"{""min_stress"":11,""max_stress"":37,""stress_scale"":{""severe"":0,""mild"":31,""relax"":52,""moderate"":0},""avg_stress"":23}",1746876234
8278074507,895438322,daily_report,stress,1746835200,"{""avg_stress"":36,""stress_scale"":{""severe"":0,""moderate"":0,""mild"":3,""relax"":0},""max_stress"":37,""min_stress"":36}",1746893715
8278074507,895438322,daily_report,stress,1746921600,"{""stress_scale"":{""moderate"":0,""mild"":19,""severe"":0,""relax"":0},""avg_stress"":35,""min_stress"":29,""max_stress"":36}",1746980115
8278074507,895438322,daily_report,stress,1747008000,"{""avg_stress"":30,""max_stress"":30,""stress_scale"":{""mild"":1,""moderate"":0,""relax"":0,""severe"":0},""min_stress"":30}",1747055920
